Column1	pietrocurve	ourcurve								
label:x										
720										
0	1.2	1.2								
0.025	-6.42134E-08	-0.000149066								
0.05	-6.42207E-08	-0.000149075								
0.075	-6.42238E-08	-0.000149081								
0.1	-6.42237E-08	-0.000149086								
0.125	-6.4226E-08	-0.000149089								
0.15	-6.42308E-08	-0.000149092								
0.175	-6.4227E-08	-0.000149094								
0.2	-6.42269E-08	-0.000149095								
0.225	-6.42341E-08	-0.000149096								
0.25	-6.42341E-08	-0.000149097								
0.275	-6.42341E-08	-0.000149098								
0.3	-6.42341E-08	-0.000149098								
0.325	-6.42341E-08	-0.000149099								
0.35	-6.42341E-08	-0.000149099								
0.375	-6.42341E-08	-0.000149099								
0.4	-6.42341E-08	-0.000149099								
0.425	-6.42341E-08	-0.000149099								
0.45	-6.42341E-08	-0.000149099								
0.475	-6.42341E-08	-0.000149099								
0.5	-6.42414E-08	-0.000149099								
0.525	-6.42414E-08	-0.000149099								
0.55	-6.42414E-08	-0.000149099								
0.575	-6.42414E-08	-0.000149099								
0.6	-6.42414E-08	-0.000149099								
0.625	-6.42414E-08	-0.000149099								
0.65	-6.42414E-08	-0.000149099								
0.675	-6.42414E-08	-0.000149099								
0.7	-6.42414E-08	-0.000149099								
0.725	-6.42414E-08	-0.000149099								
0.75	-6.42414E-08	-0.000149099								
0.775	-6.42414E-08	-0.000149099								
0.8	-6.42414E-08	-0.000149099								
0.825	-6.42414E-08	-0.000149099								
0.85	-6.42414E-08	-0.000149099								
0.875	-6.42414E-08	-0.000149099								
0.9	-6.42414E-08	-0.000149099								
0.925	-6.42414E-08	-0.000149099								
0.95	-6.42414E-08	-0.000149099								
0.975	-6.42414E-08	-0.000149099								
1	-6.42414E-08	-0.000149099								
1.025	3.54985E-07	-7.12257E-05								
1.05	-0.0392159	-0.207518								
1.075	-0.131164	-0.421296								
1.1	-0.237562	-0.579169								
1.125	-0.342924	-0.693992								
1.15	-0.439434	-0.777489								
1.175	-0.523392	-0.838247								
1.2	-0.59357	-0.882488								
1.225	-0.650181	-0.914728								
1.25	-0.694219	-0.938238								
1.275	-0.727053	-0.955398								
1.3	-0.750171	-0.967931								
1.325	-0.765038	-0.977093								
1.35	-0.773015	-0.983797								
1.375	-0.775318	-0.988706								
1.4	-0.773013	-0.992304								
1.425	-0.767012	-0.994943								
1.45	-0.758086	-0.996881								
1.475	-0.746881	-0.998305								
1.5	-0.733933	-0.999353								
1.525	-0.719681	-1.00012								
1.55	-0.704485	-1.00069								
1.575	-0.688637	-1.00111								
1.6	-0.672371	-1.00142								
1.625	-0.655878	-1.00165								
1.65	-0.639307	-1.00182								
1.675	-0.622776	-1.00195								
1.7	-0.606381	-1.00204								
1.725	-0.590191	-1.00211								
1.75	-0.574264	-1.00216								
1.775	-0.558641	-1.0022								
1.8	-0.543353	-1.00223								
1.825	-0.528421	-1.00225								
1.85	-0.513861	-1.00226								
1.875	-0.499682	-1.00228								
1.9	-0.485889	-1.00228								
1.925	-0.472483	-1.00229								
1.95	-0.459463	-1.0023								
1.975	-0.446825	-1.0023								
2	-0.434564	-1.0023								
2.025	-0.422674	-1.0023								
2.05	-0.411147	-1.00231								
2.075	-0.399975	-1.00231								
2.1	-0.389149	-1.00231								
2.125	-0.378662	-1.00231								
2.15	-0.368502	-1.00231								
2.175	-0.358662	-1.00231								
2.2	-0.349133	-1.00231								
2.225	-0.339904	-1.00231								
2.25	-0.330968	-1.00231								
2.275	-0.322314	-1.00231								
2.3	-0.313935	-1.00231								
2.325	-0.305822	-1.00231								
2.35	-0.297966	-1.00231								
2.375	-0.29036	-1.00231								
2.4	-0.282995	-1.00231								
